marker_position lod trace
1 162.797792 -21.7756001786543 pleio
2 162.802465 -21.7768089245606 pleio
3 162.807137 -21.7421497637356 pleio
4 162.891193 -21.4396630694718 pleio
5 162.899169 -21.1331677713405 pleio
6 162.907146 -21.2331856649987 pleio
7 162.915122 -21.4318240542957 pleio
8 162.923098 -21.5197407853243 pleio
9 162.931074 -21.622731940557 pleio
10 162.93905 -21.7395785453422 pleio
11 162.97044 -21.9638059592513 pleio
12 162.976744 -21.9729899655365 pleio
13 162.983048 -21.9821842964076 pleio
14 162.989352 -21.5147179422136 pleio
15 162.995537 -21.1868880426766 pleio
16 162.997832 -20.5638907816128 pleio
17 163.00011 -20.4606864443966 pleio
18 163.002388 -20.4650723020423 pleio
19 163.004665 -20.4703453111818 pleio
20 163.006943 -20.4765094289937 pleio
21 163.009221 -20.4835683156166 pleio
22 163.011499 -20.4915238504709 pleio
23 163.013777 -20.500376413084 pleio
24 163.016054 -20.5087752845348 pleio
25 163.018332 -20.5162883687898 pleio
26 163.02061 -20.5247105310023 pleio
27 163.022888 -20.5340382763554 pleio
28 163.025166 -20.5442892844548 pleio
29 163.029526 -20.5554110007988 pleio
30 163.045161 -20.5667906670325 pleio
31 163.061794 -20.5736755858184 pleio
32 163.078427 -20.3339134831341 pleio
33 163.09506 -20.0157922775883 pleio
34 163.111693 -19.8074321763102 pleio
35 163.125708 -19.6998165963863 pleio
36 163.137394 -19.6366786028821 pleio
37 163.14908 -19.5449187834752 pleio
38 163.154021 -19.3515627316396 pleio
39 163.156127 -19.1734913749053 pleio
40 163.157556 -19.0117776074679 pleio
41 163.158891 -18.8667654366202 pleio
42 163.160225 -18.7380697331348 pleio
43 163.161559 -18.6246835980139 pleio
44 163.162894 -18.5251796685144 pleio
45 163.164228 -18.4379554926577 pleio
46 163.165562 -18.3614816734931 pleio
47 163.166897 -18.2945095764293 pleio
48 163.26265 -18.1973870815082 pleio
49 163.413317 -18.024184899003 pleio
50 163.495816 -17.2721679652365 pleio
51 163.507977 -17.3726461749417 pleio
52 163.520139 -17.5862435230602 pleio
53 163.582672 -17.8363821635641 pleio
54 164.022416 -17.2924541891998 pleio
55 164.027702 -15.947427711928 pleio
56 164.032987 -15.91890341665 pleio
57 164.064248 -15.9874890365229 pleio
58 164.070405 -15.9900124639543 pleio
59 164.076561 -15.9925232910827 pleio
60 164.255184 -15.6982124262378 pleio
61 164.291807 -10.473353919835 pleio
62 164.314068 -9.91405152810347 pleio
63 164.325529 -9.89053247511683 pleio
64 164.336991 -9.80452639769351 pleio
65 164.348452 -9.47088748457023 pleio
66 164.60536 -9.30389252533479 pleio
67 164.617986 -9.31119792204696 pleio
68 164.628884 -9.33923495849524 pleio
69 164.636687 -9.39205797377506 pleio
70 164.648869 -9.45505749088963 pleio
71 164.66892 -9.46126012263614 pleio
72 164.758936 -9.48147898297742 pleio
73 165.053217 -7.33060418546117 pleio
74 165.121823 -7.36170819496085 pleio
75 165.132678 -7.36506089370147 pleio
76 165.143532 -6.1602594559009 pleio
77 165.154046 -5.75409200023087 pleio
78 165.15722 -5.82017956763146 pleio
79 165.160395 -5.87445722837761 pleio
80 165.163569 -5.95430649823092 pleio
81 165.195982 -6.00220998185091 pleio
82 165.223558 -5.99644039130052 pleio
83 165.251135 -5.9822643457511 pleio
84 165.276843 -6.06751518757731 pleio
85 165.283031 -5.81703800169056 pleio
86 165.290201 -4.65098179202579 pleio
87 165.297626 -0.587238426819344 pleio
88 165.445995 0 pleio
89 165.451594 -0.0687769235865594 pleio
90 165.457194 -0.152907235891985 pleio
91 165.462793 -0.267473077308099 pleio
92 165.468393 -0.397351587399418 pleio
93 165.473992 -0.537776765667466 pleio
94 165.479592 -0.688260267301164 pleio
95 165.485905 -0.802379595166946 pleio
96 165.495439 -0.914301155857169 pleio
97 165.565236 -1.0046433071862 pleio
98 165.56991 -1.14178066104301 pleio
99 165.574583 -1.28058978104575 pleio
100 165.581587 -1.16193319337373 pleio
101 165.605467 -1.16137067297566 pleio
102 165.629348 -1.16682935635543 pleio
103 165.653228 -1.17278952673258 pleio
104 165.677109 -1.17732576611869 pleio
