marker_position lod trace
1 142.490795 -6.03610676012085 pleio
2 142.517426 -5.96267290052707 pleio
3 142.560149 -5.89722556936787 pleio
4 142.602873 -5.83193614422545 pleio
5 142.64402 -5.76671788036398 pleio
6 142.685103 -5.7476360080176 pleio
7 142.726186 -5.70154207524312 pleio
8 142.767269 -5.63754221296217 pleio
9 142.808353 -5.5820948197588 pleio
10 142.849436 -5.55211749623991 pleio
11 142.876943 -5.52470932899665 pleio
12 142.880371 -5.49947784383366 pleio
13 142.883799 -5.47633091007286 pleio
14 142.904956 -5.45186341204912 pleio
15 142.989329 -5.32966502044829 pleio
16 143.073701 -5.20802022331684 pleio
17 143.155273 -5.16689422303891 pleio
18 143.159416 -5.13680259371329 pleio
19 143.163559 -5.01753175745425 pleio
20 143.167702 -4.811401614474 pleio
21 143.171846 -4.61301512510712 pleio
22 143.175989 -4.42985957130935 pleio
23 143.180132 -4.2672043693198 pleio
24 143.240265 -4.10776632714795 pleio
25 143.324863 -3.58948680155986 pleio
26 143.409462 -3.50100207222629 pleio
27 143.484637 -3.32657678154188 pleio
28 143.487347 -3.16252582338283 pleio
29 143.490056 -3.12770265514496 pleio
30 143.492766 -3.09913300613747 pleio
31 143.495555 -3.0765072517743 pleio
32 143.498344 -3.05946678998248 pleio
33 143.501132 -3.04762753704158 pleio
34 143.521072 -3.01767897528696 pleio
35 143.53778 -2.97502150787837 pleio
36 143.554489 -2.91477441780582 pleio
37 143.570345 -2.86726035245535 pleio
38 143.571477 -2.85222724198441 pleio
39 143.572611 -2.87370338528276 pleio
40 143.574439 -2.93141673821152 pleio
41 143.699438 -2.87392450180497 pleio
42 143.824436 -2.6592530616564 pleio
43 143.915168 -2.47755185778363 pleio
44 143.920616 -2.45534504126099 pleio
45 143.926063 -2.44407675010286 pleio
46 143.93182 -2.39583289422137 pleio
47 143.935901 -2.17867304827638 pleio
48 143.939982 -2.0018535263477 pleio
49 143.944917 -1.86934477405445 pleio
50 143.975668 -1.78323019115928 pleio
51 144.013221 -1.88411729102283 pleio
52 144.051716 -1.99838169781151 pleio
53 144.090211 -2.00535518196428 pleio
54 144.128706 -2.00842349656262 pleio
55 144.167202 -2.01108296090006 pleio
56 144.176428 -2.0136923590255 pleio
57 144.180816 -2.01653513275669 pleio
58 144.185205 -2.01973447466085 pleio
59 144.348163 -1.88781772230679 pleio
60 144.361337 -1.69640001133576 pleio
61 144.363468 -1.39432542923583 pleio
62 144.365599 -1.09174067744328 pleio
63 144.367577 -0.855939210564602 pleio
64 144.375504 -0.67993463814313 pleio
65 144.385418 -0.553567626049958 pleio
66 144.395332 -0.476153855494579 pleio
67 144.407236 -0.416030872199921 pleio
68 144.411293 -0.349126686733447 pleio
69 144.415349 -0.285160900765973 pleio
70 144.419405 -0.224447692636734 pleio
71 144.423461 -0.167273354185846 pleio
72 144.427517 -0.200448354460783 pleio
73 144.431573 -0.259671237724131 pleio
74 144.437408 -0.319482052478462 pleio
75 144.440911 -0.37751127651305 pleio
76 144.442944 -0.438109381407394 pleio
77 144.444976 -0.480454772616031 pleio
78 144.447008 -0.512066967675733 pleio
79 144.44904 -0.550757615474751 pleio
80 144.454745 -0.533881736263917 pleio
81 144.498681 -0.522995984121415 pleio
82 144.558267 -0.508577158352726 pleio
83 144.587405 -0.494001663949894 pleio
84 144.587686 -0.511488869446479 pleio
85 144.587968 -0.539619540934647 pleio
86 144.617027 -0.545716369561018 pleio
87 144.705848 -0.583258072018759 pleio
88 144.716797 -0.565473196044343 pleio
89 144.727745 -0.498702526213373 pleio
90 144.897381 -0.478723607593227 pleio
91 144.903395 -0.47140546544661 pleio
92 144.909409 -0.471031495973023 pleio
93 144.916914 -0.477694158178681 pleio
94 144.947844 -0.492582434729116 pleio
95 144.978774 -0.512155127774118 pleio
96 145.106694 0 pleio
97 145.224788 -0.113516668387504 pleio
98 145.342881 -0.123241207683935 pleio
99 145.729503 -1.93920163439099 pleio
100 145.916546 -2.19591495555904 pleio
101 146.10359 -2.11036860287725 pleio
102 146.240909 -2.03073687543823 pleio
103 146.283615 -2.00123470523759 pleio
104 146.304543 -1.93980497143986 pleio
105 146.314537 -1.88874940119682 pleio
106 146.319976 -1.84834937921476 pleio
107 146.322338 -1.8187657888907 pleio
108 146.3247 -1.80003728109557 pleio
109 146.327062 -1.79207635125556 pleio
110 146.329424 -1.79466989981444 pleio
111 146.331786 -1.80749398543368 pleio
112 146.334148 -1.83011911357418 pleio
113 146.33651 -2.10536428594424 pleio
114 146.643419 -2.18977143150252 pleio
115 146.654632 -2.10452735896392 pleio
116 146.665844 -2.02766924404543 pleio
117 146.677056 -1.93687789598163 pleio
118 146.688269 -1.78196632501972 pleio
119 146.69133 -1.65327422214153 pleio
120 146.694026 -1.58236470005608 pleio
121 146.696722 -1.58005648261456 pleio
122 146.699418 -1.64652779961423 pleio
123 146.702114 -1.7693711976635 pleio
124 146.70481 -1.84325573518211 pleio
125 146.707507 -1.89896900566994 pleio
126 146.710838 -1.95604053394565 pleio
127 146.716274 -2.0142423346817 pleio
128 146.72171 -2.07334902547295 pleio
129 146.727146 -2.13314199249729 pleio
130 146.734615 -2.19121213670368 pleio
131 146.80381 -2.21452849765958 pleio
132 146.862885 -2.24854320329018 pleio
133 146.863965 -2.29395546475306 pleio
134 146.865044 -2.33169556290199 pleio
135 146.87452 -2.36274884281961 pleio
136 146.889753 -2.36730062281161 pleio
137 146.904986 -2.32161832922672 pleio
138 147.064187 -2.36278349733798 pleio
139 147.069549 -2.26612987884315 pleio
140 147.074911 -2.22767556122052 pleio
141 147.080273 -2.27225663976883 pleio
142 147.089309 -2.31824312273864 pleio
143 147.114764 -2.3642596801514 pleio
144 147.137425 -2.37470217411704 pleio
145 147.157965 -2.44074559975493 pleio
146 147.178504 -2.50686924243257 pleio
147 147.221814 -1.81934680793611 pleio
148 147.253583 -1.3042993486389 pleio
149 147.272554 -1.1627870726651 pleio
150 147.275576 -1.06657579576736 pleio
151 147.278599 -0.990938862911651 pleio
152 147.281622 -0.966312519387397 pleio
153 147.284644 -0.952460671486532 pleio
154 147.286194 -0.949627891676382 pleio
155 147.286753 -0.957813746647123 pleio
156 147.287312 -0.97680088017318 pleio
157 147.287872 -1.00619695755882 pleio
158 147.290648 -1.01687815820074 pleio
159 147.299484 -1.01335577742755 pleio
160 147.327447 -1.68164268090831 pleio
161 147.35561 -1.62814360935559 pleio
162 147.383773 -1.37755170518769 pleio
163 147.397845 -1.35328845772534 pleio
164 147.402328 -1.33113223040993 pleio
165 147.406811 -1.31113204744673 pleio
166 147.411546 -1.29342133072746 pleio
167 147.442387 -1.27759200104544 pleio
168 147.535843 -1.26396231191423 pleio
169 147.551736 -1.3601477880964 pleio
170 147.555599 -1.52179866555637 pleio
171 147.559461 -1.7723468674903 pleio
172 147.563362 -2.09205575560287 pleio
173 147.583398 -2.67029435851688 pleio
174 147.602453 -3.04988782924678 pleio
175 147.621507 -3.38155271696709 pleio
176 147.682611 -3.44861223693741 pleio
177 147.68996 -3.43252099650134 pleio
178 147.695588 -3.36354259808463 pleio
179 147.701215 -3.29293872178256 pleio
180 147.706843 -3.09211560577749 pleio
181 147.719435 -2.83914029726104 pleio
182 147.737975 -2.80300212814128 pleio
183 147.751499 -2.83808633253483 pleio
184 147.760277 -2.91321944383586 pleio
185 147.769056 -2.99490305210537 pleio
186 147.777834 -3.0850582598918 pleio
187 147.786613 -3.32349271598868 pleio
188 147.795391 -3.63340164255633 pleio
189 147.816836 -3.82419621249237 pleio
190 147.850698 -3.85833535172415 pleio
191 147.88456 -3.87728721794924 pleio
192 147.914702 -4.01339517963952 pleio
193 147.91491 -4.00911543510371 pleio
194 147.915116 -4.014285031966 pleio
195 147.915322 -4.0294232045783 pleio
196 147.915527 -4.05486466372336 pleio
197 147.915733 -4.09074933635613 pleio
198 147.916803 -4.13557320326293 pleio
199 147.923623 -4.16470459412961 pleio
200 147.930444 -4.19126730883894 pleio
201 147.937264 -4.22063559628273 pleio
202 147.944084 -4.30396361920055 pleio
203 147.949324 -4.41611404012732 pleio
204 147.953121 -4.5056171829043 pleio
205 147.956917 -4.58136336603323 pleio
206 147.960714 -4.66844401673871 pleio
207 147.964511 -4.76885665997623 pleio
208 147.968307 -4.83969535297576 pleio
209 147.973733 -4.89874749300528 pleio
210 147.982072 -4.92926689429021 pleio
211 147.982175 -4.93869739660732 pleio
212 147.982278 -4.94847669941045 pleio
213 147.986316 -4.8588410986479 pleio
214 147.986987 -4.48241729363128 pleio
215 147.987657 -4.19973252035256 pleio
216 147.988327 -4.03714791583067 pleio
217 147.988998 -4.00589571489857 pleio
218 147.989668 -4.06213497597352 pleio
219 148.006053 -4.0303372857277 pleio
220 148.013144 -3.94043270019844 pleio
221 148.020236 -3.87779778235455 pleio
222 148.027327 -3.84609184551579 pleio
223 148.033269 -3.84816684483121 pleio
224 148.037078 -3.88582132281452 pleio
225 148.040918 -4.09906463977787 pleio
226 148.046494 -4.55006430933601 pleio
227 148.05207 -5.05971422334975 pleio
228 148.180347 -5.51142478056095 pleio
229 148.183086 -5.65064201007909 pleio
230 148.185825 -5.80250365067935 pleio
231 148.188563 -5.95750219496135 pleio
232 148.191302 -5.82782264836108 pleio
233 148.194041 -5.72655209277717 pleio
234 148.19678 -5.68628179254045 pleio
235 148.200032 -5.71044754953641 pleio
236 148.204884 -5.73832612800802 pleio
237 148.213021 -5.7891349201146 pleio
238 148.213171 -5.9743609964354 pleio
239 148.213321 -6.15484929169381 pleio
240 148.326473 -6.30085123694158 pleio
241 148.333368 -6.2282938238482 pleio
242 148.340263 -6.17775338594326 pleio
243 148.347157 -6.12419950179516 pleio
244 148.354052 -6.06011513060888 pleio
245 148.362946 -5.99309552431225 pleio
246 148.380016 -5.91315169671578 pleio
247 148.403283 -5.86685120972726 pleio
248 148.42655 -5.86073345923856 pleio
249 148.430037 -5.85876918027974 pleio
250 148.4319 -5.8585535721862 pleio
251 148.433763 -5.86006961311101 pleio
252 148.435626 -6.10748006450938 pleio
253 148.437489 -6.4348358007074 pleio
254 148.439352 -6.55358505857968 pleio
255 148.441214 -6.57118740572484 pleio
256 148.443077 -6.57797989106213 pleio
257 148.44494 -6.57548451622288 pleio
258 148.446803 -6.5667211521074 pleio
259 148.453459 -6.56437473069999 pleio
260 148.477993 -6.57308881166009 pleio
261 148.493526 -6.58885962342549 pleio
262 148.493644 -6.60718140723261 pleio
263 148.493762 -6.62736741777846 pleio
264 148.502187 -6.65137422207461 pleio
265 148.624196 -6.83743722854952 pleio
266 148.648833 -7.17178075400671 pleio
267 148.673469 -7.41698854654457 pleio
268 148.812084 -7.20215317071577 pleio
269 148.815025 -7.21457812400241 pleio
270 142.490795 -3.14791812855311 profile1
271 142.517426 -3.13182826251474 profile1
272 142.560149 -3.1152320250322 profile1
273 142.602873 -3.0987686306106 profile1
274 142.64402 -3.08239435398082 profile1
275 142.685103 -3.11546588734934 profile1
