marker_position lod trace
1 162.797792 -10.9824269720744 pleio
2 162.802465 -11.2342516362468 pleio
3 162.807137 -11.531497936002 pleio
4 162.891193 -11.8133056807075 pleio
5 162.899169 -11.3395905715764 pleio
6 162.907146 -11.2832461056578 pleio
7 162.915122 -11.3603907644126 pleio
8 162.923098 -11.3847698675523 pleio
9 162.931074 -11.4141788108786 pleio
10 162.93905 -11.4456794360683 pleio
11 162.97044 -11.3601923257491 pleio
12 162.976744 -11.2912664192262 pleio
13 162.983048 -11.28923633192 pleio
14 162.989352 -11.5924478448238 pleio
15 162.995537 -11.5862238209996 pleio
16 162.997832 -11.1427665821891 pleio
17 163.00011 -11.0884912142446 pleio
18 163.002388 -11.065381338334 pleio
19 163.004665 -11.0423026680111 pleio
20 163.006943 -11.019276647743 pleio
21 163.009221 -10.996325780479 pleio
22 163.011499 -10.9734724187193 pleio
23 163.013777 -10.9507404055262 pleio
24 163.016054 -10.9272722220825 pleio
25 163.018332 -10.9028067680285 pleio
26 163.02061 -10.8785402639102 pleio
27 163.022888 -10.8544956011308 pleio
28 163.025166 -10.8311490620944 pleio
29 163.029526 -10.8086702468122 pleio
30 163.045161 -10.7948880013253 pleio
31 163.061794 -10.7821173215681 pleio
32 163.078427 -10.6740468056052 pleio
33 163.09506 -10.526746778285 pleio
34 163.111693 -10.4296510326955 pleio
35 163.125708 -10.5228098305228 pleio
36 163.137394 -9.01703755077421 pleio
37 163.14908 -9.15284763645733 pleio
38 163.154021 -8.89706524658175 pleio
39 163.156127 -8.65245603698602 pleio
40 163.157556 -8.42027999380951 pleio
41 163.158891 -8.20162853492627 pleio
42 163.160225 -7.99748516121344 pleio
43 163.161559 -7.80879303382199 pleio
44 163.162894 -7.6365074276998 pleio
45 163.164228 -7.48161370778446 pleio
46 163.165562 -7.34510314752986 pleio
47 163.166897 -7.22786994125008 pleio
48 163.26265 -6.22757857461852 pleio
49 163.413317 -4.48658527185865 pleio
50 163.495816 -2.94968943867847 pleio
51 163.507977 -2.80217864898519 pleio
52 163.520139 -2.58590584106704 pleio
53 163.582672 -2.39585786332276 pleio
54 164.022416 0 pleio
55 164.027702 -0.129819299446627 pleio
56 164.032987 -0.5117313278675 pleio
57 164.064248 -0.899937358272944 pleio
58 164.070405 -0.903024736080865 pleio
59 164.076561 -0.906169247922704 pleio
60 164.255184 -1.5691282855474 pleio
61 164.291807 -2.80394796813358 pleio
62 164.314068 -3.82617948398474 pleio
63 164.325529 -4.49138604383644 pleio
64 164.336991 -5.12132968630471 pleio
65 164.348452 -5.51863830743031 pleio
66 164.60536 -5.92475695062192 pleio
67 164.617986 -5.67158504264274 pleio
68 164.628884 -5.4623507192505 pleio
69 164.636687 -5.31727954741551 pleio
70 164.648869 -5.26170886649648 pleio
71 164.66892 -5.15169586737901 pleio
72 164.758936 -4.77618313304298 pleio
73 165.053217 -3.25583911023558 pleio
74 165.121823 -3.2147321640073 pleio
75 165.132678 -3.16071885375398 pleio
76 165.143532 -3.0380924685791 pleio
77 165.154046 -2.71241015559346 pleio
78 165.15722 -2.71745376180061 pleio
79 165.160395 -2.80358532119537 pleio
80 165.163569 -2.89861704315354 pleio
81 165.195982 -3.15762829590866 pleio
82 165.223558 -3.21303599998217 pleio
83 165.251135 -3.21340502757453 pleio
84 165.276843 -2.95654463295844 pleio
85 165.283031 -2.7392783073493 pleio
86 165.290201 -2.41898317344579 pleio
87 165.297626 -1.67758359536775 pleio
88 165.445995 -1.47099076235745 pleio
89 165.451594 -1.36914431105311 pleio
90 165.457194 -1.28727922401085 pleio
91 165.462793 -1.27253908893054 pleio
92 165.468393 -1.27986645061109 pleio
93 165.473992 -1.29594698558104 pleio
94 165.479592 -1.32060746958036 pleio
95 165.485905 -2.89453560077845 pleio
96 165.495439 -2.85277556217679 pleio
97 165.565236 -2.8548177017082 pleio
98 165.56991 -3.10533862657427 pleio
99 165.574583 -3.48687145305655 pleio
100 165.581587 -3.7201180061309 pleio
101 165.605467 -3.78928467396771 pleio
102 165.629348 -3.87409532940099 pleio
103 165.653228 -3.96585983356592 pleio
104 165.677109 -4.02386395426507 pleio
105 165.700989 -3.99241504979522 pleio
106 165.704891 -3.90205455442254 pleio
107 165.706625 -3.81476716430742 pleio
108 165.708359 -3.73085886265475 pleio
109 165.710093 -3.6505935041026 pleio
